measurement_cost,macro_mae,mean_selected_K
0.0,0.010356004577052108,5.0
0.0025,0.010356004577052108,5.0
0.005,0.014264727223038386,4.7368421052631575
0.01,0.021358333582345065,4.052631578947368
0.02,0.02826385373555582,3.473684210526316
